	Gene stable ID	Gene name
189	ENSG00000242989	RN7SL332P
190	ENSG00000212420	RNU6-1111P
191	ENSG00000199031	MIR371A
192	ENSG00000272393	RNU6-92P
193	ENSG00000278104	RF02218
194	ENSG00000273532	RF01972
195	ENSG00000264755	MIR3131
196	ENSG00000221445	MIR1301
197	ENSG00000266274	RN7SL138P
198	ENSG00000200112	RF00275
199	ENSG00000278190	RF00026
200	ENSG00000206804	RNU6-1293P
201	ENSG00000284191	MIR671
202	ENSG00000284564	MIR3064
203	ENSG00000273613	MIR6511A4
204	ENSG00000276197	RF01518
205	ENSG00000208025	MIR591
206	ENSG00000283454	AC003070.6
207	ENSG00000221455	RF00012
208	ENSG00000283532	MIR4317
209	ENSG00000212593	RF00072
210	ENSG00000200153	RNU6-23P
211	ENSG00000276048	RF02250
212	ENSG00000211582	MIR758
213	ENSG00000239595	RN7SL79P
214	ENSG00000201821	RNU4-9P
215	ENSG00000207227	RNU6-900P
216	ENSG00000266494	MIR4641
217	ENSG00000264582	RN7SL326P
218	ENSG00000239964	RN7SL748P
219	ENSG00000215991	MIR208B
220	ENSG00000276047	RN7SL711P
221	ENSG00000199109	MIR411
222	ENSG00000202479	RF00016
223	ENSG00000277492	SNORD3E
224	ENSG00000221537	MIR548H1
225	ENSG00000206835	RNU1-74P
226	ENSG00000266581	MIR3166
227	ENSG00000241807	RN7SL319P
228	ENSG00000223224	SNORD71
229	ENSG00000284508	MIR133A2
230	ENSG00000265521	MIR5697
231	ENSG00000201241	RNU6-978P
232	ENSG00000199771	RNA5SP426
233	ENSG00000251886	RNU6-120P
234	ENSG00000221214	MIR548E
235	ENSG00000207390	RF00019
236	ENSG00000206675	RNU6-32P
237	ENSG00000207647	MIR153-1
238	ENSG00000199765	RNU6-363P
239	ENSG00000212521	RNU6-918P
240	ENSG00000281185	GPX6
241	ENSG00000252857	RNU6-389P
242	ENSG00000283603	MIR4302
243	ENSG00000283672	MIR4678
244	ENSG00000207735	MIR520D
245	ENSG00000206776	RF00421
246	ENSG00000202265	RNU6-596P
247	ENSG00000252456	RNA5SP434
248	ENSG00000200370	RNA5S17
249	ENSG00000202237	RNU6-53P
250	ENSG00000200719	RNA5SP260
251	ENSG00000285757	AC003070.7
252	ENSG00000206679	RF00019
253	ENSG00000222831	MIR1537
254	ENSG00000206863	RNU5A-6P
255	ENSG00000277057	MIR6779
256	ENSG00000283899	MIR761
257	ENSG00000199574	SNORD18C
258	ENSG00000200728	RNU6-271P
259	ENSG00000243532	RN7SL19P
260	ENSG00000284424	MIR4724
261	ENSG00000284202	MIR137
262	ENSG00000251732	RN7SKP122
263	ENSG00000239078	RNU7-55P
264	ENSG00000207504	RNU6-1031P
265	ENSG00000238819	RF01182
266	ENSG00000278221	MIR6511A2
267	ENSG00000252163	RN7SKP31
268	ENSG00000200492	RF00012
269	ENSG00000263675	MIR5581
270	ENSG00000242101	RN7SL416P
271	ENSG00000206600	RNU6-25P
272	ENSG00000283736	MIR484
273	ENSG00000252367	RF00019
274	ENSG00000199961	SNORD1B
275	ENSG00000277032	RF00019
276	ENSG00000207145	SNORA18
277	ENSG00000200966	RN7SKP87
278	ENSG00000199251	RNU6-664P
279	ENSG00000265059	RF00003
280	ENSG00000252480	RNU6-719P
281	ENSG00000200959	SNORA74A
282	ENSG00000199804	RNA5SP383
283	ENSG00000276669	RF00017
284	ENSG00000199466	RF00019
285	ENSG00000264997	RF00157
