M109Barcode_704-508	342344.2827615077
M109Barcode_707-502	3353033.6826387215
M109Barcode_710-502	239179.98568333292
M109Barcode_708-508	959602.733739543
M109Barcode_703-507	1107271.9826042792
M109Barcode_701-505	2349107.243086441
M109Barcode_701-501	107445.41751800287
M109Barcode_705-505	129516.18757785346
M109Barcode_707-507	225706.60644995747
M109Barcode_712-504	274135.93765166705
M109Barcode_703-503	288785.56122469995
M109Barcode_704-504	18753.62826989545
M109Barcode_706-506	213698.62287269218
M109Barcode_702-502	82669.02151429871
M109Barcode_709-501	36717.81277925089
M109Barcode_711-503	3245349.7219582847
M109Barcode_702-506	227575.17077110132
M109Barcode_705-501	1548996.7016734686
